  Action  ,  Company Number  ,  Account Number  ,  Site  ,  Container Group  ,  Existing Effective Date  ,  New Effective Date  ,  Close Date  ,  Charge Code  ,  Charge Type  ,  Charge Method  ,  Tax App Code  ,  Existing Charge Rate  ,  New Charge Rate  ,  Transaction Code  ,  Reason Code  ,  Competitor Code  ,  Contract CSA#  ,  Lead Source  ,
CHANGE,858,274,1,2,2/21/2016,8/4/2017,1/1/1900,RES,R,F,1,60,62.4,3,64,N/A,RM16070001,V,Row not found in BIPCCR*
CHANGE,858,1089,2,1,3/1/2016,7/21/2017,1/1/1900,RES,R,F,1,57,59.28,3,64,N/A,RM16070002,V,Row not found in BIPCCR*
CHANGE,858,2617,2,1,3/6/2016,7/21/2017,1/1/1900,RES,R,F,1,45,49.5,3,64,N/A,RM16070003,V,Row not found in BIPCCR*
CHANGE,858,5699,2,1,7/1/2016,7/25/2017,1/1/1900,RES,R,F,1,76.5,79.56,3,64,N/A,RM16070004,V,Row not found in BIPCCR*
CHANGE,858,5699,2,1,7/1/2016,7/25/2017,1/1/1900,RES,R,F,1,76.5,79.56,3,64,N/A,RM16070004,V,Row not found in BIPCCR*
CHANGE,858,6784,1,1,10/1/2015,8/12/2017,1/1/1900,RES,R,F,1,76.5,79.56,3,64,N/A,RM16070005,V,Row not found in BIPCCR*
CHANGE,858,7489,1,2,1/1/2016,7/23/2017,1/1/1900,RES,R,F,1,51,53.04,3,64,N/A,RM16070006,V,Row not found in BIPCCR*
CHANGE,858,7620,1,2,1/1/2016,7/25/2017,1/1/1900,RES,R,F,1,112.5,117,3,64,N/A,RM16070007,V,Row not found in BIPCCR*
CHANGE,858,8721,1,4,10/1/2015,7/21/2017,1/1/1900,R10,R,F,1,45,49.5,3,64,N/A,RM1607000D,V,Row not found in BIPCCR*
CHANGE,858,8963,2,1,1/1/2016,7/21/2017,1/1/1900,RES,R,F,1,63,69.3,3,64,N/A,RM1607000J,V,Row not found in BIPCCR*
CHANGE,858,8963,2,2,7/1/2016,7/21/2017,1/1/1900,REC,R,F,0,18,19.8,3,64,N/A,RM1607000J,V,Row not found in BIPCCR*
CHANGE,858,1004704,1,1,7/1/2016,7/24/2017,1/1/1900,RES,R,F,1,39,42.9,3,64,N/A,RM1607001K,V,Row not found in BIPCCR*
CHANGE,858,1171560,1,2,6/1/2015,8/19/2017,1/1/1900,RES,R,F,1,55.5,57.72,3,64,N/A,RM1607001X,V,Row not found in BIPCCR*
CHANGE,858,4000082,2,1,6/12/2016,7/21/2017,1/1/1900,RES,R,F,1,26,27.04,3,64,N/A,RM16070023,V,Row not found in BIPCCR*
CHANGE,858,4000129,1,1,5/1/2015,8/14/2017,1/1/1900,RES,R,F,1,26,28.6,3,64,N/A,RM16070024,V,Row not found in BIPCCR*
