Count of business_unit,Column Labels,,,,,,,,,,,,,,,
Row Labels,20161201,20170101,20170501,20170601,20170701,20170801,20170901,20171001,20171101,20171201,20180101,20181101,20181201,20190101,(blank),Grand Total
BU105,,8,1,,10,2,1,24,312,17,,,,,,375
BU122,195,152,7,49,92,18,46,437,601,4698,,,,,4,6299
BU123,113,493,46,,101,36,36,2052,1828,1386,5,1,1,,6,6104
BU125,4,153,8,,64,14,11,172,159,376,,,,1,,962
BU135,57,244,,,50,4,37,2048,687,1461,,,,,,4588
BU217,,,,,,,,1,18,72,,,,,,91
BU220,,,,,1,1,,140,92,71,,,,,,305
BU223,1,1,,,,,,14,89,108,,,,,,213
BU344,5,19,3,,4,16,21,483,,,,,,,,551
Grand Total,375,1070,65,49,322,91,152,5371,3786,8189,5,1,1,1,10,19488
