"Acct_new","Recycle","SolidWaste","Opt_out","Open","Click"
"282-1002819",1,1,"","1","0"
"282-1002981",1,1,"","1","1"
"282-1003014",1,1,"","1","1"
"282-1003465",1,1,"","1","1"
"282-1003469",1,1,"","1","1"
"282-1003663",0,1,"","1","1"
"282-1004417",1,1,"","1","1"
"282-1005165",0,1,"","1","0"
"282-1005791",1,1,"","1","1"
"282-1006023",1,1,"","1","1"
"282-6015944",0,1,"","1","1"
"282-6016415",0,1,"","1","1"
"282-6016792",0,1,"","1","0"
"282-6016958",0,1,"","1","0"
"282-6017684",0,1,"","1","1"
"282-6017841",0,1,"","1","1"
"282-6019608",0,1,"","1","0"
"282-6023387",0,1,"","1","1"
"282-6028129",1,0,"","1","1"
"282-6028805",1,1,"","1","1"
"282-6029256",1,1,"","1","1"
"282-6029433",1,0,"","1","1"
"282-6029524",1,0,"","1","1"
"282-6029538",1,1,"","1","1"
"282-6029541",1,1,"","1","1"
"282-6030316",1,1,"","1","1"
"282-6030571",1,1,"","1","1"
"282-6031116",1,1,"","1","1"
"30562521708",,,"","1","1"
"320-0001007",1,1,"","1","1"
"320-0001066",1,1,"","1","1"
"320-0001082",1,1,"","1","0"
"320-0002433",1,1,"","1","0"
"320-0002996",1,1,"","1","1"
"320-0004724",1,1,"","1","1"
"320-0004894",1,1,"","1","1"
"320-0007003",1,1,"","1","1"
"320-0007579",1,1,"","1","0"
"320-0007728",1,1,"","1","1"
"320-0008864",1,1,"","1","0"
"320-0008930",1,1,"","1","1"
"320-0009034",1,1,"","1","0"
"320-0009871",1,1,"","1","0"
"320-0010043",1,1,"","1","1"
"320-0010186",0,1,"","1","0"
"320-0010973",1,1,"","1","1"
"320-0011409",1,1,"","1","1"
"320-0011657",1,1,"","1","1"
"320-0011741",1,1,"","1","1"
"320-0012422",1,1,"","1","1"
"320-0012470",1,1,"","1","1"
"320-0013022",1,1,"","1","1"
"320-0014027",1,1,"","1","1"
"320-0014351",1,1,"","1","1"
"320-0014446",1,1,"","1","1"
"320-0014460",1,1,"","1","1"
"320-0014785",1,1,"","1","1"
"320-0015165",1,1,"","1","1"
"320-0015285",1,1,"","1","1"
"320-0015464",1,1,"","1","0"
"320-0015676",1,1,"","1","1"
"320-0015737",0,1,"","1","1"
"320-0015857",1,1,"","1","1"
"320-0016181",1,1,"","1","0"
"320-0016295",1,1,"","1","1"
"320-0016354",1,1,"","1","0"
"320-0016609",1,1,"","1","0"
"320-0017439",1,1,"","1","1"
"320-0017816",1,1,"","1","1"
"320-0018061",1,1,"","1","1"
"320-0018318",1,1,"","1","0"
"320-0018987",1,1,"","1","1"
"320-0018997",1,1,"","1","1"
"320-0019053",0,1,"","1","1"
"320-0019329",1,1,"","1","1"
"320-0019417",1,1,"","1","0"
"320-0019730",1,1,"","1","1"
"320-0021533",1,1,"","1","0"
"320-0021620",1,1,"","1","1"
"320-0021707",1,1,"","1","1"
"320-0022018",1,1,"","1","1"
"320-0022143",0,1,"","1","1"
"320-0022192",1,1,"","1","1"
"320-0022263",1,1,"","1","1"
"320-0022466",0,1,"","1","1"
"320-0022837",1,1,"","1","1"
"320-0022976",1,1,"","1","1"
"320-0023465",1,1,"","1","0"
"320-0023524",1,1,"","1","1"
"320-0023655",1,1,"","1","1"
"320-0023765",1,1,"","1","1"
"320-0024070",1,1,"","1","1"
"320-0024149",1,1,"","1","1"
"320-0024357",1,1,"","1","1"
"320-0024431",1,1,"","1","1"
"320-0024478",1,1,"","1","0"
"320-0024557",1,1,"","1","1"
"320-0024717",1,1,"","1","0"
"320-0024828",1,1,"","1","1"
"320-0024972",1,1,"","1","1"
"320-0025066",1,1,"","1","0"
"320-0025254",1,1,"","1","0"
"320-0025359",1,1,"","1","1"
"320-0025600",1,1,"","1","1"
"320-0025876",1,1,"","1","1"
"320-0026220",0,1,"","1","1"
"320-0026257",1,1,"","1","1"
"320-0026281",1,1,"","1","1"
"320-0026569",1,1,"","1","1"
"320-0026887",1,1,"","1","1"
"320-0028086",1,1,"","1","1"
"320-0028313",1,1,"","1","1"
"320-0028457",1,1,"","1","1"
"320-0028588",1,1,"","1","1"
"320-0028595",1,1,"","1","1"
"320-0028823",1,1,"","1","0"
"320-0028830",1,1,"","1","1"
"320-0028893",0,1,"","1","1"
"320-0028992",1,1,"","1","1"
"320-0029098",1,1,"","1","1"
"320-0029205",1,1,"","1","1"
"320-0029251",1,1,"","1","0"
"320-0029291",1,1,"","1","1"
"320-0029338",1,1,"","1","1"
"320-0029358",1,1,"","1","1"
"320-0029406",1,1,"","1","1"
"320-0029718",1,1,"","1","1"
"320-0029731",1,1,"","1","1"
"320-0029763",1,1,"","1","0"
"320-0029770",1,1,"","1","1"
"320-0029856",1,1,"","1","0"
"320-0030072",1,1,"","1","0"
"320-0030183",1,1,"","1","1"
"320-0030289",1,1,"","1","0"
"320-0030718",1,1,"","1","1"
"320-0030735",1,1,"","1","1"
"320-0030757",1,1,"","1","1"
"320-0030797",1,1,"","1","1"
"320-0030848",1,1,"","1","1"
"320-0030917",1,1,"","1","0"
"320-0031007",1,1,"","1","1"
"320-0031043",1,1,"","1","1"
"320-0031057",1,1,"","1","0"
"320-0031086",1,1,"","1","1"
"320-0031087",1,1,"","1","1"
"320-0031217",1,1,"","1","1"
"320-0031409",1,1,"","1","1"
"320-0031455",1,1,"","1","0"
"320-0031782",1,1,"","1","0"
"320-0031923",1,1,"","1","1"
"320-0031936",1,1,"","1","0"
"320-0032069",1,1,"","1","1"
"320-0032146",1,1,"","1","1"
"320-0032333",1,1,"","1","0"
"320-0032365",1,1,"","1","0"
"320-0032421",1,1,"","1","1"
"320-0032432",1,1,"","1","0"
"320-0032483",1,1,"","1","1"
"320-0032490",1,1,"","1","1"
"320-0032554",1,1,"","1","1"
"320-0032583",1,1,"","1","1"
"320-0032874",1,1,"","1","1"
"320-0032975",1,1,"","1","1"
"320-0032993",1,1,"","1","1"
"320-0033292",1,1,"","1","1"
"320-0034177",1,1,"","1","1"
"320-0034781",1,1,"","1","1"
"320-0034858",1,1,"","1","1"
"320-0034900",1,1,"","1","1"
"320-0035115",1,1,"","1","1"
"320-0035520",1,1,"","1","1"
"320-0035823",1,1,"","1","1"
"320-0035848",1,1,"","1","1"
"320-0035886",1,1,"","1","1"
"320-0035912",0,1,"","1","1"
"320-0035926",1,1,"","1","1"
"320-0036145",1,1,"","1","1"
"320-0036533",1,1,"","1","1"
"320-0036658",1,1,"","1","1"
"320-0036931",1,1,"","1","1"
"320-0037113",1,1,"","1","1"
"320-0037262",1,1,"","1","1"
"320-0037276",1,1,"","1","1"
"320-0037623",1,1,"","1","1"
"320-0037675",1,1,"","1","1"
"320-0037883",1,1,"","1","1"
"320-0037923",1,1,"","1","1"
"320-0037951",1,1,"","1","1"
"320-0038111",1,1,"","1","1"
"320-0038127",1,1,"","1","1"
"320-0038149",1,1,"","1","1"
"320-0038380",1,1,"","1","1"
