APT_Email,Presence_Email
R_249_17,0
R_249_105,0
R_249_152,1
R_249_224,0
R_249_259,1
R_249_355,0
R_249_426,1
R_249_651,0
R_249_685,1
R_249_834,1
R_249_836,0
R_249_982,0
R_249_1170,0
R_249_1317,1
R_249_1443,1
R_249_1461,0
R_249_1497,0
R_249_1560,0
R_249_1586,0
R_249_1744,1
R_249_1750,1
R_249_1852,0
R_249_1870,1
R_249_2062,0
R_249_2173,0
R_249_2262,1
R_249_2345,1
R_249_2415,0
R_249_2527,0
R_249_2558,0
R_249_2795,0
R_249_2999,1
R_249_3061,1
R_249_3124,1
R_249_3127,0
R_249_3149,1
R_249_3280,0
R_249_3311,0
R_249_3321,1
R_249_3518,0
R_249_3835,1
R_249_3862,1
R_249_3871,1
R_249_3927,1
R_249_4105,1
R_249_4148,1
R_249_4204,1
R_249_4220,1
R_249_4291,0
R_249_4325,0
R_249_4639,1
R_249_4713,1
R_249_4719,0
R_249_4836,0
R_249_4874,0
R_249_4907,0
R_249_4909,0
R_249_4980,1
R_249_4992,0
R_249_5051,0
R_249_5086,0
R_249_5173,1
R_249_5226,0
R_249_5351,1
R_249_5416,0
R_249_5450,1
R_249_5604,1
R_249_5690,1
R_249_5819,0
R_249_5899,1
R_249_5907,1
R_249_6000,0
R_249_6100,1
R_249_6168,1
R_249_6223,0
R_249_6251,1
R_249_6279,0
R_249_6327,0
R_249_6333,1
R_249_6346,0
R_249_6379,0
R_249_6395,1
R_249_6534,0
R_249_6592,0
R_249_6633,1
R_249_6658,1
R_249_6699,0
R_249_6721,1
R_249_6739,1
R_249_6767,1
R_249_6772,0
R_249_6787,1
R_249_6910,0
R_249_6944,1
R_249_6948,0
R_249_6979,0
R_249_7033,0
R_249_7060,1
R_249_7073,1
R_249_7163,0
R_249_7224,0
R_249_7239,0
R_249_7241,0
R_249_7386,1
R_249_7434,0
R_249_7473,1
R_249_7940,1
R_249_8145,0
R_249_8436,0
R_249_8486,0
R_249_8610,0
R_249_8785,0
R_249_8789,0
R_249_8847,1
R_249_8853,1
R_249_8868,0
R_249_8872,0
R_249_8882,1
R_249_8998,1
R_249_9028,1
R_249_9040,0
R_249_9094,1
R_249_9122,1
R_249_9181,0
R_249_9217,0
R_249_9334,1
R_249_9367,0
R_249_9376,0
R_249_9433,0
R_249_9520,1
R_249_9554,0
R_249_9684,1
R_249_9770,1
R_249_9944,0
R_249_9978,1
R_249_10019,1
R_249_10106,0
R_249_10315,0
R_249_10329,1
R_249_10366,0
R_249_10452,1
R_249_10526,0
R_249_10687,1
R_249_10808,1
R_249_10815,0
R_249_10910,1
R_249_11018,1
R_249_11031,1
R_249_11282,1
R_249_11320,1
R_249_11385,1
R_249_11502,0
R_249_11505,1
R_249_11567,1
R_249_11634,0
R_249_11779,0
R_249_11827,1
R_249_11919,0
R_249_12355,1
R_249_12368,0
R_249_12444,1
R_249_12473,1
R_249_12599,1
R_249_12768,1
R_249_12810,1
R_249_12923,1
R_249_13127,1
R_249_13221,1
R_249_13349,0
R_249_13431,0
R_249_13501,0
R_249_13502,1
R_249_13509,1
R_249_13671,0
R_249_13942,0
R_249_13943,1
R_249_13991,0
R_249_14028,1
R_249_14054,0
R_249_14100,0
R_249_14104,0
R_249_14213,0
R_249_14282,1
R_249_14356,1
R_249_14393,0
R_249_14404,0
R_249_14579,0
R_249_14603,1
R_249_14645,1
R_249_14754,0
R_249_14783,0
R_249_14908,1
R_249_15147,0
R_249_15173,0
R_249_15253,0
R_249_15283,1
R_249_15380,0
R_249_15478,0
R_249_15595,1
R_249_15681,1
R_249_15701,1
R_249_15997,1
R_249_16083,1
R_249_16181,1
R_249_16183,0
R_249_16196,1
R_249_16381,0
R_249_16589,1
R_249_16647,1
R_249_16712,0
R_249_16774,0
R_249_16978,1
R_249_17074,0
R_249_17176,0
R_249_17288,1
R_249_17306,0
R_249_17406,0
R_249_17471,1
R_249_17503,0
R_249_17512,1
R_249_17537,0
R_249_17556,0
R_249_17614,0
R_249_17636,1
R_249_17648,1
R_249_17776,0
R_249_17963,1
R_249_17996,1
R_249_18031,0
R_249_18102,0
R_249_18194,1
R_249_18221,1
R_249_18271,1
R_249_18400,1
R_249_18564,0
R_249_18579,0
R_249_18697,1
R_249_18981,0
R_249_19043,1
R_249_19106,1
R_249_19344,1
R_249_19363,0
R_249_19388,1
R_249_19420,0
R_249_19441,0
R_249_19499,0
R_249_19583,1
R_249_19601,1
R_249_19625,1
R_249_19648,1
R_249_19962,0
R_249_20167,1
R_249_20204,0
R_249_20497,0
R_249_20505,1
R_249_20520,1
R_249_20665,1
R_249_20849,1
R_249_20913,0
R_249_20952,1
R_249_20973,0
R_249_21445,0
R_249_21638,0
R_249_21723,0
R_249_21895,1
R_249_21972,1
R_249_22001,1
R_249_22022,1
R_249_22173,0
R_249_22216,0
R_249_22516,0
R_249_22576,1
R_249_22593,1
R_249_22686,1
R_249_22788,1
R_249_22929,1
R_249_22999,0
R_249_23549,1
R_249_23613,1
R_249_23632,1
R_249_23702,1
R_249_23736,1
R_249_23752,1
R_249_23764,1
R_249_23898,0
R_249_23980,1
R_249_23981,0
R_249_23995,0
R_249_24017,1
R_249_24095,0
R_249_24144,0
R_249_24171,1
R_249_24232,0
R_249_24236,0
R_249_24275,0
R_249_24305,1
R_249_24564,1
R_249_24572,0
R_249_24703,0
R_249_24713,1
R_249_24842,1
R_249_24868,1
R_249_24891,0
R_249_24929,1
R_249_24931,0
R_249_24972,1
R_249_25008,0
R_249_25050,1
R_249_25138,1
R_249_25259,0
R_249_25272,1
R_249_25318,0
R_249_25331,1
R_249_25382,1
R_249_25420,0
R_249_25449,1
R_249_25661,1
R_249_25702,1
R_249_25739,1
R_249_25762,1
R_249_25766,1
R_249_25779,1
R_249_25810,0
R_249_26032,0
R_249_26044,0
R_249_26114,0
R_249_26203,1
R_249_26278,0
R_249_26325,0
R_249_26397,0
R_249_26421,1
R_249_26427,1
R_249_26694,1
R_249_26771,0
R_249_26775,1
R_249_26860,1
R_249_26876,1
R_249_27048,1
R_249_27268,1
R_249_27278,1
R_249_27320,0
R_249_27361,0
R_249_27442,0
R_249_27443,0
R_249_27452,0
R_249_27476,0
R_249_27482,0
R_249_27498,0
R_249_27505,0
R_249_27643,0
R_249_27691,1
R_249_27720,0
R_249_27725,1
R_249_27743,0
R_249_27819,0
R_249_27823,0
R_249_27864,0
R_249_28011,1
R_249_28181,0
R_249_28324,1
R_249_28376,0
R_249_28397,0
R_249_28409,1
R_249_28441,1
R_249_28643,1
R_249_28818,0
R_249_28986,0
R_249_29040,0
R_249_29245,1
R_249_29426,0
R_249_29508,0
R_249_29533,1
R_249_29797,1
R_249_29821,0
R_249_29825,0
R_249_29894,1
R_249_29953,0
R_249_29963,0
R_249_29968,0
R_249_30003,0
R_249_30015,1
R_249_30050,1
R_249_30070,1
R_249_30171,0
R_249_30183,0
R_249_30189,1
R_249_30216,0
R_249_30240,1
R_249_30245,1
R_249_30391,0
R_249_30539,1
R_249_30642,0
R_249_30710,1
R_249_30718,1
R_249_30744,1
R_249_30765,1
R_249_30862,0
R_249_31041,1
R_249_31080,0
R_249_31335,1
R_249_31386,0
R_249_31507,1
R_249_31526,0
R_249_31633,0
R_249_31675,0
R_249_31709,0
R_249_31804,0
R_249_31842,1
R_249_31856,1
R_249_31916,0
R_249_31920,0
R_249_31928,0
R_249_31963,1
R_249_32012,1
R_249_32029,0
R_249_32060,0
R_249_32119,0
R_249_32132,1
R_249_32259,1
R_249_32355,1
R_249_32367,1
R_249_32381,1
R_249_32389,0
R_249_32396,0
R_249_32399,0
R_249_32686,1
R_249_32694,1
R_249_32719,1
R_249_32724,0
R_249_32772,0
R_249_32792,1
R_249_32842,1
R_249_32913,0
R_249_33032,0
R_249_33040,1
R_249_33074,0
R_249_33079,1
R_249_33102,1
R_249_33156,0
R_249_33240,1
R_249_33347,0
R_249_33352,0
R_249_33364,0
R_249_33405,1
R_249_33418,0
R_249_33527,1
R_249_33548,0
R_249_33666,1
R_249_33710,0
R_249_33819,1
R_249_33893,1
R_249_34120,1
R_249_34130,1
R_249_34216,1
R_249_34225,1
R_249_34416,1
R_249_34420,0
R_249_34453,1
R_249_34483,0
R_249_34489,0
R_249_34509,0
R_249_34632,1
R_249_34647,1
R_249_34689,1
R_249_34902,0
R_249_35057,0
R_249_35196,1
R_249_35269,1
R_249_35372,1
R_249_35411,1
R_249_35430,0
R_249_35483,0
R_249_35566,0
R_249_35589,1
R_249_35590,1
R_249_35626,1
R_249_35637,0
R_249_35787,0
R_249_35800,1
R_249_36109,1
R_249_36301,0
R_249_36331,1
R_249_36482,0
R_249_36517,0
R_249_36528,1
R_249_36596,0
R_249_36613,0
R_249_36707,0
R_249_36721,0
R_249_36897,0
R_249_36977,0
R_249_36978,1
R_249_36987,1
R_249_37011,1
R_249_37018,0
R_249_37022,0
R_249_37100,1
R_249_37170,1
R_249_37230,1
R_249_37440,1
R_249_37451,1
R_249_37528,1
R_249_37598,1
R_249_37599,1
R_249_37628,1
R_249_37638,0
R_249_37653,1
R_249_37741,1
R_249_37943,1
R_249_38099,1
R_249_38141,0
R_249_38151,0
R_249_38153,1
R_249_38186,1
R_249_38241,0
R_249_38244,0
R_249_38339,0
R_249_38349,0
R_249_38413,1
R_249_38764,0
R_249_38943,1
R_249_39007,1
R_249_39103,1
R_249_39130,0
R_249_39299,1
R_249_39333,0
R_249_39344,0
R_249_39450,1
R_249_39451,1
R_249_39500,1
R_249_39505,0
R_249_39690,1
R_249_39827,0
R_249_40053,1
R_249_40086,1
R_249_40113,1
R_249_40248,0
R_249_40361,1
R_249_40389,1
R_249_40447,1
R_249_40468,1
R_249_40487,1
R_249_40549,1
R_249_40555,1
R_249_40711,0
R_249_40770,1
R_249_40776,1
R_249_40862,1
R_249_40953,0
R_249_41007,1
R_249_41202,1
R_249_41223,1
R_249_41311,0
R_249_41720,0
R_249_41789,1
R_249_41822,0
R_249_41862,0
R_249_42023,1
R_249_42187,1
R_249_42229,0
R_249_42310,0
R_249_42373,1
R_249_42380,1
R_249_42393,0
R_249_42605,0
R_249_42626,1
R_249_42657,1
R_249_42659,1
R_249_42905,0
R_249_42953,1
R_249_42986,1
R_249_43147,1
R_249_43196,1
R_249_43309,0
R_249_43343,0
R_249_43354,1
R_249_43374,1
R_249_43459,1
R_249_43543,1
R_249_43756,1
R_249_43761,1
R_249_43826,0
R_249_44000,1
R_249_44080,0
R_249_44274,0
R_249_44297,1
R_249_44439,0
R_249_44712,0
R_249_44722,0
R_249_44776,1
R_249_44782,1
R_249_44934,0
R_249_44940,1
R_249_44951,0
R_249_44952,0
R_249_44969,0
R_249_44973,0
R_249_45051,0
R_249_45098,0
R_249_45158,0
R_249_45198,1
R_249_45244,1
R_249_45420,0
R_249_45540,0
R_249_45590,0
R_249_45746,1
R_249_45781,0
R_249_46015,0
R_249_46092,1
R_249_46210,0
R_249_46437,0
R_249_46592,1
R_249_46612,1
R_249_46664,0
R_249_46727,1
R_249_46858,0
R_249_46876,1
R_249_46883,0
R_249_46887,1
R_249_46902,0
R_249_46926,1
R_249_47028,1
R_249_47368,1
R_249_47378,0
R_249_47484,1
R_249_47511,0
R_249_47579,0
R_249_47660,1
R_249_47701,1
R_249_47803,0
R_249_47997,0
R_249_48102,1
R_249_48175,1
R_249_48180,1
R_249_48500,1
R_249_48501,0
R_249_48518,0
R_249_48585,1
R_249_48645,1
R_249_48646,0
R_249_48654,0
R_249_48740,0
R_249_48800,0
R_249_48821,0
R_249_48826,0
R_249_48833,0
R_249_48897,1
R_249_49043,1
R_249_49111,1
R_249_49168,1
R_249_49258,0
R_249_49360,0
R_249_49388,0
R_249_49427,1
R_249_49501,1
R_249_49534,1
R_249_49629,1
R_249_49730,0
R_249_49730,0
R_249_49755,1
R_249_49767,0
R_249_49925,1
R_249_49982,0
R_249_50027,1
R_249_50053,0
R_249_50081,1
R_249_50192,0
R_249_50317,1
R_249_50365,1
R_249_50406,1
R_249_50452,1
R_249_50620,0
R_249_50669,0
R_249_50697,0
R_249_50710,0
R_249_50743,0
R_249_50874,1
R_249_50880,0
R_249_50978,0
R_249_51131,1
R_249_51140,0
R_249_51141,1
R_249_51144,1
R_249_51338,1
R_249_51458,1
R_249_51594,1
R_249_51601,1
R_249_51655,0
R_249_51848,1
R_249_51879,1
R_249_51954,0
R_249_52010,1
R_249_52019,1
R_249_52190,1
R_249_52244,0
R_249_52340,1
R_249_52410,1
R_249_52432,1
R_249_52517,0
R_249_52554,1
R_249_52622,0
R_249_52640,1
R_249_52643,1
R_249_52674,1
R_249_52725,1
R_249_52830,1
R_249_52882,1
R_249_52928,1
R_249_52965,1
R_249_53037,1
R_249_53069,0
R_249_53073,0
R_249_53170,0
R_249_53172,0
R_249_53192,1
R_249_53261,0
R_249_53340,0
R_249_53361,1
R_249_53489,1
R_249_53505,1
R_249_53533,1
R_249_53596,1
R_249_53640,0
R_249_53869,0
R_249_53871,1
R_249_53919,1
R_249_54009,0
R_249_54041,1
R_249_54043,1
R_249_54066,0
R_249_54074,0
R_249_54093,1
R_249_54100,1
R_249_54123,0
R_249_54125,0
R_249_54207,1
R_249_54213,1
R_249_54231,1
R_249_54236,1
R_249_54279,1
R_249_54336,1
R_249_54408,1
R_249_54424,0
R_249_54462,0
R_249_54618,0
R_249_54752,1
R_249_54892,0
R_249_55075,1
R_249_55098,0
R_249_55417,0
R_249_55537,1
R_249_55617,1
R_249_55626,1
R_249_55628,1
R_249_55638,0
R_249_55651,1
R_249_55659,1
R_249_55673,1
R_249_55699,0
R_249_55739,1
R_249_55748,1
R_249_55764,0
R_249_55813,0
R_249_55817,0
R_249_55844,1
R_249_55899,0
R_249_55972,1
R_249_56097,1
R_249_56135,0
R_249_56145,1
R_249_56202,1
R_249_56221,0
R_249_56294,1
R_249_56359,1
R_249_56604,1
R_249_56749,1
R_249_56810,1
R_249_56856,1
R_249_56861,1
R_249_56898,1
R_249_57030,0
R_249_57124,0
R_249_57260,0
R_249_57300,0
R_249_57310,0
R_249_57354,1
R_249_57485,1
R_249_57539,0
R_249_57614,1
R_249_57653,1
R_249_57686,0
